"","X","Unnamed..0","x","Lat","Lon"
"1",32,33,"520 BEDOK NTH AVE 1",NA,NA
"2",33,34,"549 BEDOK NTH AVE 1",NA,NA
"3",38,39,"122 BEDOK NTH ST 2",NA,NA
"4",39,40,"537 BEDOK NTH ST 3",NA,NA
"5",43,44,"525 BEDOK NTH ST 3",NA,NA
"6",45,46,"526 BEDOK NTH ST 3",NA,NA
"7",50,51,"517 BEDOK NTH AVE 2",NA,NA
"8",63,64,"414 BEDOK NTH AVE 2",NA,NA
"9",66,67,"118 BEDOK NTH ST 2",NA,NA
"10",128,129,"105A DEPOT RD",NA,NA
"11",140,141,"110A DEPOT RD",NA,NA
"12",201,202,"335A SMITH ST",NA,NA
"13",277,278,"413 C'WEALTH AVE WEST",NA,NA
"14",291,292,"3 HAIG RD",NA,NA
"15",306,307,"6 HAIG RD",NA,NA
"16",425,426,"28 JLN BAHAGIA",NA,NA
"17",439,440,"30 JLN BAHAGIA",NA,NA
"18",445,446,"52 KENT RD",NA,NA
"19",456,457,"54 KENT RD",NA,NA
"20",459,460,"7 MARINE TER",NA,NA
"21",460,461,"57 MARINE TER",NA,NA
"22",461,462,"62 MARINE DR",NA,NA
"23",561,562,"81 C'WEALTH CL",NA,NA
"24",562,563,"52 C'WEALTH DR",NA,NA
"25",563,564,"53 C'WEALTH DR",NA,NA
"26",564,565,"91 C'WEALTH DR",NA,NA
"27",565,566,"93 C'WEALTH DR",NA,NA
"28",568,569,"18A HOLLAND DR",NA,NA
"29",569,570,"11 HOLLAND DR",NA,NA
"30",691,692,"507 SERANGOON NTH AVE 4",NA,NA
"31",695,696,"550 SERANGOON NTH AVE 3",NA,NA
"32",925,926,"106 BEDOK NTH AVE 4",NA,NA
"33",926,927,"519 BEDOK NTH AVE 1",NA,NA
"34",927,928,"217 BEDOK NTH ST 1",NA,NA
"35",928,929,"201 BEDOK NTH ST 1",NA,NA
"36",929,930,"135 BEDOK NTH ST 2",NA,NA
"37",930,931,"128 BEDOK NTH ST 2",NA,NA
"38",931,932,"535 BEDOK NTH ST 3",NA,NA
"39",933,934,"504 BEDOK NTH ST 3",NA,NA
"40",951,952,"98 BEDOK NTH AVE 4",NA,NA
"41",960,961,"410 BEDOK NTH AVE 2",NA,NA
"42",988,989,"104A DEPOT RD",NA,NA
"43",1054,1055,"414 C'WEALTH AVE WEST",NA,NA
"44",1062,1063,"12 PINE CL",NA,NA
"45",1064,1065,"9 PINE CL",NA,NA
"46",1137,1138,"43 CAMBRIDGE RD",NA,NA
"47",1145,1146,"12 NTH BRIDGE RD",NA,NA
"48",1149,1150,"66 MARINE DR",NA,NA
"49",1152,1153,"13 MARINE TER",NA,NA
"50",1203,1204,"51 C'WEALTH DR",NA,NA
"51",1281,1282,"521 SERANGOON NTH AVE 4",NA,NA
"52",1282,1283,"549 SERANGOON NTH AVE 3",NA,NA
"53",1283,1284,"500 SERANGOON NTH AVE 4",NA,NA
"54",1284,1285,"525 SERANGOON NTH AVE 4",NA,NA
"55",5,6,"95 BEDOK NTH AVE 4",NA,NA
"56",50,51,"97 C'WEALTH CRES",NA,NA
"57",154,155,"1 DELTA AVE",39.1295221,-84.42967
"58",196,197,"4 QUEEN'S RD",51.4217454,-0.2035518
"59",204,205,"663 BUFFALO RD",43.1494364,-77.6671427
"60",283,284,"43 CIRCUIT RD",27.1244796,-82.4677578
"61",286,287,"49 CIRCUIT RD",27.1244796,-82.4677578
"62",295,296,"18B CIRCUIT RD",27.1239657,-82.4682114
"63",462,463,"63 MARINE DR",48.0392193,-122.234328
"64",566,567,"87 DAWSON RD",31.6042607,-84.2052556
"65",571,572,"169 STIRLING RD",26.0484439,-80.1455742
"66",577,578,"181 STIRLING RD",26.0486921,-80.1456816
"67",583,584,"92 DAWSON RD",31.6042607,-84.2052556
"68",586,587,"81 STRATHMORE AVE",39.0348874,-77.0979284
"69",591,592,"121A CANBERRA ST",-37.7578085,144.95815
"70",592,593,"121C CANBERRA ST",-37.7578085,144.95815
"71",602,603,"121B CANBERRA ST",-37.7578085,144.95815
"72",1057,1058,"57 CIRCUIT RD",27.1244796,-82.4677578
"73",1058,1059,"64 CIRCUIT RD",27.1239657,-82.4682114
"74",1059,1060,"18A CIRCUIT RD",27.1239657,-82.4682114
"75",1148,1149,"67 MARINE DR",48.0392173,-122.2343785
"76",1207,1208,"166 STIRLING RD",26.0496507,-80.145656
"77",1208,1209,"86 DAWSON RD",31.6042607,-84.2052556
"78",22,23,"35 CIRCUIT RD",27.1244796,-82.4677578
