,X,Unnamed..0,x,Lat,Lon
1,32,33,520 BEDOK NTH AVE 1,1.330518144,103.9280809
2,33,34,549 BEDOK NTH AVE 1,1.331665776,103.9267689
3,38,39,122 BEDOK NTH ST 2,1.328737673,103.9380207
4,39,40,537 BEDOK NTH ST 3,1.332196747,103.9236012
5,43,44,525 BEDOK NTH ST 3,1.334716073,103.9290365
6,45,46,526 BEDOK NTH ST 3,1.334192547,103.9290949
7,50,51,517 BEDOK NTH AVE 2,1.331046247,103.9291164
8,63,64,414 BEDOK NTH AVE 2,1.330044321,103.9296948
9,66,67,118 BEDOK NTH ST 2,1.330412847,103.9374662
10,128,129,105A DEPOT RD,1.281151799,103.811422
11,140,141,110A DEPOT RD,1.281573373,103.8092999
12,201,202,335A SMITH ST,1.282280647,103.8428206
13,277,278,413 C'WEALTH AVE WEST,1.311359225,103.7711107
14,291,292,3 HAIG RD,1.311701273,103.897263
15,306,307,6 HAIG RD,1.313130147,103.89725
16,425,426,28 JLN BAHAGIA,1.322817999,103.8564059
17,439,440,30 JLN BAHAGIA,1.325756073,103.8581858
18,445,446,52 KENT RD,1.316357899,103.8513706
19,456,457,54 KENT RD,1.316706721,103.8523775
20,459,460,7 MARINE TER,1.303830847,103.9171418
21,460,461,57 MARINE TER,1.306483773,103.9154198
22,461,462,62 MARINE DR,1.302609525,103.90892
23,561,562,81 C'WEALTH CL,1.303870851,103.8003896
24,562,563,52 C'WEALTH DR,1.301653747,103.797028
25,563,564,53 C'WEALTH DR,1.302166547,103.796565
26,564,565,91 C'WEALTH DR,1.305922851,103.7997558
27,565,566,93 C'WEALTH DR,1.305355121,103.800118
28,568,569,18A HOLLAND DR,1.311044425,103.7916881
29,569,570,11 HOLLAND DR,1.309006273,103.7940427
30,691,692,507 SERANGOON NTH AVE 4,1.371711373,103.8752892
31,695,696,550 SERANGOON NTH AVE 3,1.372753876,103.8704282
32,925,926,106 BEDOK NTH AVE 4,1.329487173,103.9094598
33,926,927,519 BEDOK NTH AVE 1,1.330865125,103.9280501
34,927,928,217 BEDOK NTH ST 1,1.326837521,103.9339311
35,928,929,201 BEDOK NTH ST 1,1.326075373,103.92816
36,929,930,135 BEDOK NTH ST 2,1.328651921,103.9364691
37,930,931,128 BEDOK NTH ST 2,1.327600725,103.9390644
38,931,932,535 BEDOK NTH ST 3,1.332761547,103.9234969
39,933,934,504 BEDOK NTH ST 3,1.331872399,103.9323329
40,951,952,98 BEDOK NTH AVE 4,1.334240347,103.9398254
41,960,961,410 BEDOK NTH AVE 2,1.327861973,103.9318672
42,988,989,104A DEPOT RD,1.280449799,103.812451
43,1054,1055,414 C'WEALTH AVE WEST,1.311620299,103.771586
44,1062,1063,12 PINE CL,1.308478021,103.882264
45,1064,1065,9 PINE CL,1.309447599,103.8823455
46,1137,1138,43 CAMBRIDGE RD,1.315330922,103.8494687
47,1145,1146,12 NTH BRIDGE RD,1.304289399,103.8628444
48,1149,1150,66 MARINE DR,1.303945847,103.9097102
49,1152,1153,13 MARINE TER,1.304058847,103.915601
50,1203,1204,51 C'WEALTH DR,1.301348773,103.7976561
51,1281,1282,521 SERANGOON NTH AVE 4,1.373435473,103.8733003
52,1282,1283,549 SERANGOON NTH AVE 3,1.372685473,103.8710224
53,1283,1284,500 SERANGOON NTH AVE 4,1.374825425,103.8757844
54,1284,1285,525 SERANGOON NTH AVE 4,1.372251499,103.8726223
55,154,155,1 DELTA AVE,1.291842973,103.8266634
56,196,197,4 QUEEN'S RD,1.319141773,103.8083037
57,204,205,663 BUFFALO RD,1.305666599,103.8508322
58,283,284,43 CIRCUIT RD,1.326466247,103.8855148
59,286,287,49 CIRCUIT RD,1.325161273,103.8854245
60,295,296,18B CIRCUIT RD,1.329452847,103.8880522
61,462,463,63 MARINE DR,1.302366499,103.909264
62,566,567,87 DAWSON RD,1.295983747,103.8098833
63,571,572,169 STIRLING RD,1.290448773,103.8031205
64,577,578,181 STIRLING RD,1.294424173,103.8055913
65,583,584,92 DAWSON RD,1.295062599,103.81113
66,586,587,81 STRATHMORE AVE,1.294614025,103.8092027
67,591,592,121A CANBERRA ST,1.447736524,103.8337067
68,592,593,121C CANBERRA ST,1.447310399,103.8342552
69,602,603,121B CANBERRA ST,1.447903524,103.8339565
70,1057,1058,57 CIRCUIT RD,1.324694521,103.8865226
71,1058,1059,64 CIRCUIT RD,1.326981273,103.887077
72,1059,1060,18A CIRCUIT RD,1.329362573,103.8879865
73,1148,1149,67 MARINE DR,1.304344125,103.9096304
74,1207,1208,166 STIRLING RD,1.290650947,103.8023249
75,1208,1209,86 DAWSON RD,1.295652647,103.8103162
78,22,23,35 CIRCUIT RD,1.32918893,103.8859904
55,5,6,95 BEDOK NTH AVE 4,1.333809353,103.9418624
56,50,51,97 C'WEALTH CRES,1.30621519,103.8014423
